Date,Variable,T1,T2,T3,T4,T8,T9,T10,T11
2021/07/26,pCO2,982.59,1102.31495,1052,977.2664050753,1522.69,2044.44603,1687,1753.27928883082
2021/07/26,Salinity,31,29.6,30.2,30.7,30.7,30.2,30.5,30.6
2021/07/26,"pH set point",7.649,7.652,7.657,7.61814765061,7.393,7.414,7.414,7.64878393047
2021/07/27,pH,7.624,7.63062856884,7.73,7.48392457856,7.461,7.38650960327,7.267,7.39650267377
2021/07/27,Alkalinity,0.00206969681,0.00205794853,0.0020046,0.00191188531,0.00204948711,0.00209514426,0.0020737,0.00209245941
2021/07/27,pCO2,1066.74,1044.4561007467,797,1382.38299308869,1565.18,1909.36490107102,2519,1863.03997934045
2021/07/27,Salinity,30.8,30.8,30.3,30.8,30.9,31.2,30.8,31.1
2021/07/27,"pH set point",7.651,7.64846283341,7.639,7.61788996824,7.403,7.41125442005,7.41,7.65458814464
2021/07/28,pH,7.578,7.60235068566,7.596,7.71771177765,7.492,7.48399626085,7.312,7.41761492896
2021/07/28,Alkalinity,0.00206969681,0.00205794853,0.0020046,0.00191188531,0.00204948711,0.00209514426,0.0020737,0.00209245941
2021/07/28,pCO2,1196,1124.52814782366,1114,785.17542343402,1456.54,1521.26610077604,2274,1778.55437258161
2021/07/28,Salinity,30.5,30,29.8,30.4,30.6,30.2,29.9,30.4
2021/07/28,"pH set point",7.652,7.6506043933,7.64,7.61893392282,7.403,7.41362203612,7.41,7.65641185595
2021/07/29,pH,7.64,7.6095396,7.713,7.63629831002,7.375,7.35646226,7.416,7.38424228169
2021/07/29,Alkalinity,0.00206969681,0.00205794853,0.0020046,0.00191188531,0.00204948711,0.00209514426,0.0020737,0.00209245941
2021/07/29,pCO2,1029.8,1098.7762,834,954.33750552496,1925.06,2056.3797,1774,1918.25017473396
2021/07/29,Salinity,30.3,30.9,30.2,31.1,30.6,30.7,30.1,31.1
2021/07/29,"pH set point",7.652,7.648,7.639,7.61713014284,7.403,7.412,7.41,7.65458814464
2021/07/30,pH,7.614,7.62423381748,7.598,7.62027218633,7.404,7.39487590739,7.44,7.39694030603
2021/07/30,Alkalinity,0.00206969681,0.00205794853,0.0020046,0.00191188531,0.00204948711,0.00209514426,0.0020737,0.00209245941
2021/07/30,pCO2,1082.13,1059.53955131306,1106,992.37528903768,1799.41,1864.93743969217,1669,1855.2505623017
2021/07/30,Salinity,31.7,31,30.1,31.1,30.8,31.9,30.7,31.7
2021/07/30,"pH set point",7.646,7.64794945409,7.639,7.61713014284,7.404,7.40973012327,7.408,7.65311073259
2021/08/01,pH,7.634,7.6282448997,7.553,7.61447762845,7.4,7.4395485093,7.404,7.42703293883
2021/08/01,Alkalinity,0.00206969681,0.00205794853,0.0020046,0.00191188531,0.00204948711,0.00209514426,0.0020737,0.00209245941
2021/08/01,pCO2,1038.28,1059.56580634658,1238,1014.90971614423,1820.84,1698.24196089029,1825,1742.12153070803
2021/08/01,Salinity,29.8,29.5,29.5,29.8,30.2,29.6,29.8,30.1
2021/08/01,"pH set point",7.65,7.65201444146,7.641,7.62056600145,7.404,7.41514999017,7.41,7.65722645383
2021/08/02,pH,7.618,7.61696541404,7.613,7.60305042658,7.415,7.522733341,7.413,7.40359667777
2021/08/02,Alkalinity,0.00206969681,0.00204742568,0.0020046,0.00204408091,0.00204948711,0.00208164123,0.0020737,0.00203959749
2021/08/02,pCO2,1077.9,1081.89244033687,1068,1117.20091923413,1755.65,1379.69245423628,1795,1799.7252897381
2021/08/02,Salinity,30.2,29.7,29.9,29.7,30.2,29.9,29.8,29.7
2021/08/02,"pH set point",7.649,7.64931605928,7.654,7.64863735189,7.404,7.41164402804,7.412,7.64772577953
2021/08/03,pH,7.584,7.62995596,7.58,7.62409280786,7.313,7.4531217,7.314,7.37631796745
2021/08/03,Alkalinity,0.0020447551,0.00204742568,0.00203862,0.00204408091,0.00204313239,0.00208164123,0.0020611,0.00203959749
2021/08/03,pCO2,1174.1,1054.1822,1184,1063.01919553636,2258.39,1645.30937,2260,1921.57855894984
2021/08/03,Salinity,29.3,28.9,28.9,29.5,28.7,28.5,29.4,29.6
2021/08/03,"pH set point",7.658,7.65165018,7.65,7.64920755267,7.409,7.41542674,7.41,7.64800970877
2021/08/04,pH,7.664,7.68379987,7.630210057,7.66723035144,7.498,7.36703745,7.436931353,7.42273842619
2021/08/04,Alkalinity,0.0020447551,0.00204742568,0.00203862,0.00204408091,0.00204313239,0.00208164123,0.0020611,0.00203959749
2021/08/04,pCO2,966.94,923.866283,1047.223,959.03910366214,1443.15,2005.17044,1692.8813,1721.62110544569
2021/08/04,Salinity,29.5,29,29.1,29.2,29.4,29.6,29.6,29.5
2021/08/04,"pH set point",7.65,7.651,7.64917828,7.65007938414,7.405,7.41241766,7.41124,7.64829584183
2021/08/05,pH,7.627,7.65251995571,7.652208667,7.64203097493,7.362,7.33615016408,7.422140967,7.43162783027
2021/08/05,Alkalinity,0.0020447551,0.00204742568,0.00203862,0.00204408091,0.00204313239,0.00208164123,0.0020611,0.00203959749
2021/08/05,pCO2,1057.92,999.35692826701,994.2963,1015.53193455652,1996.2,2167.07325169339,1745.72,1683.38644234102
2021/08/05,Salinity,29.4,28.7,28.9,29.8,29.4,28.9,29.2,29.7
2021/08/05,"pH set point",7.651,7.65225575374,7.64986,7.64835555686,7.405,7.41430117641,7.409288,7.64772577953
2021/08/06,pH,7.602,7.5822433412,7.618,,7.549,7.40429432052,7.357,
2021/08/06,Alkalinity,0.0020447551,0.00204742568,0.00203862,0.00204408091,0.00204313239,0.00208164123,0.0020611,0.00203959749
2021/08/06,pCO2,1127.84,1175.33669904043,1073.735,,1708,1829.60026568925,2038.448,
2021/08/06,Salinity,29.2,29.9,29.7,,29,30.1,30.1,
2021/08/06,"pH set point",7.651,7.64875456893,7.647,,7.405,7.41113946123,7.4095529,
2021/08/08,pH,7.547,7.56719615,7.604764577,7.60352533542,7.3,7.47206676,7.416057163,7.33185404147
2021/08/08,Alkalinity,0.0020447551,0.00204742568,0.00203862,0.00204408091,0.00204313239,0.00208164123,0.0020611,0.00203959749
2021/08/08,pCO2,1287.89,1222.11602,1112.19352,1105.35235350836,2313.73,1561.0257,1773.83698,2115.14706196141
2021/08/08,Salinity,28.8,29.5,29.4,31.2,29.3,29.6,29.3,31.3
2021/08/08,"pH set point",7.651,7.64988636,7.64851356,7.64464166107,7.405,7.41241766,7.40991316,7.64348243937
2021/08/09,pH,7.621,7.64287843,7.677,7.67413200516,,,,
2021/08/09,Alkalinity,0.00208057386,0.00209489564,0.00203862,0.00206976717,,,,
2021/08/09,pCO2,1063.37,1043.27848,938.447,954.31647720398,,,,
2021/08/09,Salinity,30.6,29.2,29.3,29.3,,,,
2021/08/09,"pH set point",7.646,7.66027192,7.649,7.6549709248,,,,
2021/08/10,pH,7.585,7.71757889,7.671420667,7.6291665,,,,
2021/08/10,Alkalinity,0.00208057386,0.00209489564,0.00206590649,0.00206976717,,,,
2021/08/10,pCO2,1186.68,862.947103,956.801956,1060.28036,,,,
2021/08/10,Salinity,29.9,30.2,29.6,30,,,,
2021/08/10,"pH set point",7.655,7.65743511,7.65332977,7.65302682,,,,
2021/08/11,pH,7.599,7.61717368933,7.54266988,7.61712496,,7.47206676311,,
2021/08/11,Alkalinity,0.00208057386,0.00209489564,0.00206590649,0.00206976717,,0.00208164123,,
2021/08/11,pCO2,1149.42,1105.94888100042,1298.56087,1090.23491,,1561.02569461001,,
2021/08/11,Salinity,29.6,29.8,29.5,30.2,,29.6,,
2021/08/11,"pH set point",7.656,7.65854340719,7.65332977,7.65247785,,7.41241766465,,
